,tid,id,question
0,tttt----1,tttt----1----1-1-1,600872的全称、A股简称、法人、法律顾问、会计师事务所及董秘是？
1,tttt----1,tttt----1----1-1-2,该公司实控人是否发生改变？如果发生变化，什么时候变成了谁？是哪国人？是否有永久境外居留权？（回答时间用XXXX-XX-XX）
2,tttt----1,tttt----1----1-1-3,在实控人发生变化的当年股权发生了几次转让？
3,tttt----2,tttt----2----2-1-1,今天是2021年12月24日，创近半年新高的股票有几只？
4,tttt----2,tttt----2----2-1-2,哪些股票股价大于75，且同时当天创一年新高的是？
5,tttt----2,tttt----2----2-1-3,以上股票连续两日（今日与昨日）满足上述要求的是？
6,tttt----3,tttt----3----3-2-1,2019年度（合并）常熟银行的职工总数有多少人？
7,tttt----3,tttt----3----3-2-2,该公司披露的硕士或研究生学历（及以上）的有多少人？
8,tttt----3,tttt----3----3-2-3,20201月1日至年底退休了多少人？
9,tttt----4,tttt----4----4-2-1,互联网金融属于科技概念的什么分支？这个概念的英文名称是什么？
10,tttt----4,tttt----4----4-2-2,截至2021年底，这个概念有多少只股票（不包含已经调出的）？调出了多少只股票？
11,tttt----4,tttt----4----4-2-3,哪些是2020年纳入的，A股简称分别叫什么？
12,tttt----5,tttt----5----5-2-1,化工纳入过多少个子类概念？
13,tttt----5,tttt----5----5-2-2,2021年纳入过多少个？分别是？
14,tttt----5,tttt----5----5-2-3,2021年纳入的这些概念的股票有多少只？分别属于哪些三级行业（仅考虑2021年新纳入的行业数据）？
15,tttt----6,tttt----6----6-2-1,天顺风能披露了多少次担保信息？
16,tttt----6,tttt----6----6-2-2,他一共披露过多少次借贷信息？2021年披露了多少次？
17,tttt----6,tttt----6----6-2-3,他一共披露了多少次重大资产重组信息？2021年披露了多少次？2020年披露了多少次？
18,tttt----7,tttt----7----7-2-1,天顺风能属于哪个三级行业？
19,tttt----7,tttt----7----7-2-2,2021年发布的该行业的股票有多少只？
20,tttt----7,tttt----7----7-2-3,该行业8月公布的最高行业营业收入是多少万元？
21,tttt----8,tttt----8----8-2-1,首钢股份发布增发和配股次数分别是多少次？
22,tttt----8,tttt----8----8-2-2,该股每次增发预计募集资金总额分别是？增发预计募集资金总额最高的公司中文全称是？金额是？
23,tttt----8,tttt----8----8-2-3,该股每次配股发行费用总额分别是？配股发行费用总额最高的中文全称是？金额是？
24,tttt----9,tttt----9----9-2-1,新天绿能2020年年度研发投入合计是多少元？研发人员数量为多少人？（合并报表调整后的，金额保留2位小数）
25,tttt----9,tttt----9----9-2-2,费用化研发占比为？资本化研发占比为？
26,tttt----9,tttt----9----9-2-3,上一年度研发投入最高的三家公司是？（回答中文简称）
27,tttt----10,tttt----10----10-2-1,000958公司2021年主营业务产品有哪些？（合并报表调整后的，金额保留2位小数）
28,tttt----10,tttt----10----10-2-2,公司2021年比2020年主营业务产品减少的有？
29,tttt----10,tttt----10----10-2-3,公司2021年度经营情况的信息发布日期是（XXXX-XX-XX）？
30,tttt----11,tttt----11----11-2-1,工商银行的H股代码、中文名称及英文名称分别是？
31,tttt----11,tttt----11----11-2-2,该公司的主席及公司邮箱是？
32,tttt----11,tttt----11----11-2-3,该公司2020年12月底披露的变更前后的员工人数为多少人？
33,tttt----12,tttt----12----12-2-1,今天是2020年6月24日，阅文集团近一个月最高价是（保留2位小数）？
34,tttt----12,tttt----12----12-2-2,近一年最低价？
35,tttt----12,tttt----12----12-2-3,差额是？
36,tttt----13,tttt----13----13-2-1,今天是2020年10月27日，当日收盘价第3高的港股是？(以下都回答简称)
37,tttt----13,tttt----13----13-2-2,成交量第3高的是？
38,tttt----13,tttt----13----13-2-3,换手率第3高的是？
39,tttt----14,tttt----14----14-2-1,2019-09-02，当日收盘价最高的港股是？(以下都回答简称)
40,tttt----14,tttt----14----14-2-2,2019-09-02，当日成交量最高的是？
41,tttt----14,tttt----14----14-2-3,2019-09-02，当日换手率最高的是？
42,tttt----15,tttt----15----15-2-1,2020年之间 哪些公司进行公司名称全称变更，公司代码是什么？
43,tttt----15,tttt----15----15-2-2,这些公司A股证券代码分别是什么？
44,tttt----15,tttt----15----15-2-3,这些公司的证券内部编码是多少？
45,tttt----16,tttt----16----16-2-1,2021-12-31报告期内，查询总资产最高的公司是?
46,tttt----16,tttt----16----16-2-2,经营活动产生的现金流量净额最高的公司是？
47,tttt----16,tttt----16----16-2-3,这两个公司净利润差额是？
48,tttt----17,tttt----17----17-2-1,2020年4月涨幅前10的港股股票有哪些?
49,tttt----17,tttt----17----17-2-2,2020年5月涨幅前10的港股股票有哪些？
50,tttt----17,tttt----17----17-2-3,2020年4月涨幅前十的股票中， 5月涨幅最小的是？
51,tttt----18,tttt----18----1-2-1,东航物流的注册邮箱是什么？
52,tttt----18,tttt----18----1-2-2,该公司的实控人是谁？
53,tttt----18,tttt----18----1-2-3,该实控人名下一共有多少家公司？
54,tttt----18,tttt----18----1-2-4,这些公司从事物流业务的有多少家？
55,tttt----19,tttt----19----2-2-1,航锦科技股份有限公司是否变更过公司名称？
56,tttt----19,tttt----19----2-2-2,该公司涉及回购的最大的一笔金额是多少？
57,tttt----19,tttt----19----2-2-3,该年度前十大股东的持股比例变成了多少？
58,tttt----19,tttt----19----2-2-4,当年公司的技术与生产人员一共有多少人？
59,tttt----20,tttt----20----3-2-1,申万一级行业是交通运输的公司有多少家？
60,tttt----20,tttt----20----3-2-2,这些公司中多少家是20年变更的行业？
61,tttt----20,tttt----20----3-2-3,变更后又在21年取消的有哪些公司？
62,tttt----21,tttt----21----4-2-1,科达制造2021年8月4日当天的最高价与最低价分别是多少
63,tttt----21,tttt----21----4-2-2,该股票的概念板块当年多少次涨停？
64,tttt----21,tttt----21----4-2-3,该股票所属的一级概念是什么？
65,tttt----21,tttt----21----4-2-4,该公司所属二级行业当日行业总市值有多少
66,tttt----22,tttt----22----5-2-1,涪陵榨菜的注册地址在哪？
67,tttt----22,tttt----22----5-2-2,该公司上市公告书中的前十大股东是哪些？
68,tttt----22,tttt----22----5-2-3,这些股东里有几家是基金管理公司？
69,tttt----22,tttt----22----5-2-4,存在资料的公司有几家，这些公司在2019年分别管理了多少种基金？
